,Five_grams,Frequency
18885,"('QT_QTC', 'RD_SYM', 'QT_QTC', 'N_NN', 'V_VM_VNF')",1
18886,"('RD_SYM', 'QT_QTC', 'N_NN', 'V_VM_VNF', 'DM_DMD')",1
18887,"('N_NN', 'RD_PUNC', 'DM_DMD', 'N_NN', 'DM_DMQ')",1
18888,"('N_NN', 'DM_DMQ', 'V_VM_VNF', 'RD_PUNC', 'JJ')",1
18889,"('DM_DMQ', 'V_VM_VNF', 'RD_PUNC', 'JJ', 'N_NN')",1
18890,"('V_VM_VNF', 'RD_PUNC', 'JJ', 'N_NN', 'RP_RPD')",1
18891,"('RD_PUNC', 'JJ', 'N_NN', 'RP_RPD', 'RB')",1
18892,"('JJ', 'N_NN', 'RP_RPD', 'RB', 'V_VM_VF')",1
18893,"('RD_PUNC', 'QT_QTC', 'N_NN', 'V_VM_VNF', 'V_VAUX')",1
18894,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'QT_QTF', 'RP_CL')",1
18895,"('V_VM_VNF', 'RD_PUNC', 'QT_QTF', 'RP_CL', 'N_NN')",1
18896,"('RP_CL', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NN')",1
18897,"('RD_PUNC', 'RB', 'V_VM_VNF', 'RD_PUNC', 'CC_CCS')",1
18898,"('RB', 'V_VM_VNF', 'RD_PUNC', 'CC_CCS', 'N_NN')",1
18899,"('V_VM_VNF', 'RD_PUNC', 'CC_CCS', 'N_NN', 'RD_PUNC')",1
18900,"('RD_PUNC', 'CC_CCS', 'N_NN', 'RD_PUNC', 'RB')",1
18901,"('CC_CCS', 'N_NN', 'RD_PUNC', 'RB', 'RD_PUNC')",1
18902,"('N_NN', 'RD_PUNC', 'RB', 'RD_PUNC', 'V_VM_VNF')",1
18903,"('RD_PUNC', 'RB', 'RD_PUNC', 'V_VM_VNF', 'V_VM_VF')",1
18904,"('RB', 'RD_PUNC', 'V_VM_VNF', 'V_VM_VF', 'RD_PUNC')",1
18905,"('DM_DMQ', 'RP_RPD', 'PR_PRP', 'V_VM_VNF', 'RD_PUNC')",1
18906,"('RP_RPD', 'PR_PRP', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",1
18907,"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'PSP')",1
18908,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'PSP', 'V_VM_VF')",1
18909,"('N_NN', 'V_VM_VNF', 'JJ', 'N_NN', 'RD_SYM')",1
18910,"('V_VM_VNF', 'JJ', 'N_NN', 'RD_SYM', 'PR_PRP')",1
18911,"('JJ', 'N_NN', 'RD_SYM', 'PR_PRP', 'N_NN')",1
18912,"('N_NN', 'RD_SYM', 'PR_PRP', 'N_NN', 'RD_PUNC')",1
18913,"('RD_SYM', 'PR_PRP', 'N_NN', 'RD_PUNC', 'N_NNP')",1
18914,"('PR_PRP', 'N_NN', 'RD_PUNC', 'N_NNP', 'V_VM_VNF')",1
18915,"('RD_PUNC', 'N_NNP', 'V_VM_VNF', 'N_NN', 'RD_SYM')",1
18916,"('N_NNP', 'V_VM_VNF', 'N_NN', 'RD_SYM', 'RD_PUNC')",1
18917,"('V_VM_VNF', 'N_NN', 'RD_SYM', 'RD_PUNC', 'RB')",1
18918,"('N_NN', 'RD_SYM', 'RD_PUNC', 'RB', 'QT_QTC')",1
18919,"('RD_SYM', 'RD_PUNC', 'RB', 'QT_QTC', 'N_NN')",1
18920,"('V_VM_VNF', 'V_VM_VNF', 'RD_SYM', 'N_NN', 'N_NNP')",1
18921,"('V_VM_VNF', 'RD_SYM', 'N_NN', 'N_NNP', 'RD_PUNC')",1
18922,"('RD_PUNC', 'N_NN', 'JJ', 'N_NN', 'PSP')",1
18923,"('PSP', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'RD_SYM')",1
18924,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'RD_SYM', 'QT_QTC')",1
18925,"('RD_SYM', 'QT_QTC', 'N_NN', 'N_NN', 'JJ')",1
18926,"('V_VM_VNF', 'RD_SYM', 'N_NN', 'RD_PUNC', 'N_NNP')",1
18927,"('RD_PUNC', 'N_NNP', 'JJ', 'N_NN', 'RD_SYM')",1
18928,"('N_NNP', 'JJ', 'N_NN', 'RD_SYM', 'RD_PUNC')",1
18929,"('JJ', 'N_NN', 'RD_SYM', 'RD_PUNC', 'CC_CCD')",1
18930,"('N_NN', 'RD_SYM', 'RD_PUNC', 'CC_CCD', 'N_NST')",1
18931,"('RD_SYM', 'RD_PUNC', 'CC_CCD', 'N_NST', 'RD_PUNC')",1
18932,"('RD_PUNC', 'CC_CCD', 'N_NST', 'RD_PUNC', 'PR_PRP')",1
18933,"('CC_CCD', 'N_NST', 'RD_PUNC', 'PR_PRP', 'V_VM_VNF')",1
18934,"('N_NST', 'RD_PUNC', 'PR_PRP', 'V_VM_VNF', 'N_NN')",1
18935,"('RD_PUNC', 'RB', 'RD_PUNC', 'V_VM_VNG', 'PSP')",1
18936,"('RB', 'RD_PUNC', 'V_VM_VNG', 'PSP', 'RD_PUNC')",1
18937,"('RD_PUNC', 'V_VM_VNG', 'PSP', 'RD_PUNC', 'CC_CCD')",1
18938,"('V_VM_VNG', 'PSP', 'RD_PUNC', 'CC_CCD', 'RD_PUNC')",1
18939,"('PSP', 'RD_PUNC', 'CC_CCD', 'RD_PUNC', 'DM_DMR')",1
18940,"('RD_PUNC', 'CC_CCD', 'RD_PUNC', 'DM_DMR', 'N_NN')",1
18941,"('CC_CCD', 'RD_PUNC', 'DM_DMR', 'N_NN', 'JJ')",1
18942,"('RD_PUNC', 'DM_DMR', 'N_NN', 'JJ', 'N_NN')",1
18943,"('DM_DMR', 'N_NN', 'JJ', 'N_NN', 'RB')",1
18944,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'V_VM_VNG', 'V_VM_VNF')",1
18945,"('RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC', 'RP_NEG')",1
18946,"('N_NN', 'N_NN', 'RD_PUNC', 'RP_NEG', 'RD_PUNC')",1
18947,"('QT_QTC', 'RD_SYM', 'N_NST', 'N_NN', 'RD_PUNC')",1
18948,"('RD_SYM', 'N_NST', 'N_NN', 'RD_PUNC', 'N_NN')",1
18949,"('DM_DMQ', 'V_VM_VNF', 'PR_PRP', 'N_NN', 'RD_PUNC')",1
18950,"('N_NN', 'RD_PUNC', 'DM_DMD', 'N_NN', 'V_VM_VF')",1
18951,"('N_NN', 'RD_PUNC', 'DM_DMD', 'N_NN', 'CC_CCS_UT')",1
18952,"('RD_PUNC', 'DM_DMD', 'N_NN', 'CC_CCS_UT', 'V_VM_VF')",1
18953,"('DM_DMD', 'N_NN', 'CC_CCS_UT', 'V_VM_VF', 'RD_PUNC')",1
18954,"('PR_PRP', 'QT_QTF', 'N_NN', 'V_VM_VNF', 'QT_QTC')",1
18955,"('QT_QTF', 'N_NN', 'V_VM_VNF', 'QT_QTC', 'RD_PUNC')",1
18956,"('N_NN', 'V_VM_VNF', 'QT_QTC', 'RD_PUNC', 'V_VM_VF')",1
18957,"('V_VM_VNF', 'QT_QTC', 'RD_PUNC', 'V_VM_VF', 'RD_PUNC')",1
18958,"('N_NN', 'RB', 'V_VM_VNF', 'RD_PUNC', 'QT_QTF')",1
18959,"('RB', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'CC_CCD')",1
18960,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'CC_CCD', 'DM_DMQ')",1
18961,"('N_NN', 'V_VM_VNF', 'CC_CCD', 'DM_DMQ', 'N_NN')",1
18962,"('V_VM_VNF', 'CC_CCD', 'DM_DMQ', 'N_NN', 'V_VM_VNF')",1
18963,"('CC_CCD', 'DM_DMQ', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",1
18964,"('N_NN', 'RP_RPD', 'PR_PRP', 'N_NN', 'RD_PUNC')",1
18965,"('N_NN', 'V_VM_VNF', 'N_NN', 'DM_DMQ', 'V_VM_VF')",1
18966,"('CC_CCS', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF')",1
18967,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NST', 'DM_DMQ')",1
18968,"('V_VM_VNF', 'N_NN', 'N_NST', 'DM_DMQ', 'DM_DMQ')",1
18969,"('N_NN', 'N_NST', 'DM_DMQ', 'DM_DMQ', 'N_NN')",1
18970,"('N_NST', 'DM_DMQ', 'DM_DMQ', 'N_NN', 'V_VM_VNF')",1
18971,"('DM_DMQ', 'DM_DMQ', 'N_NN', 'V_VM_VNF', 'V_VAUX')",1
18972,"('DM_DMQ', 'N_NN', 'V_VM_VNF', 'V_VAUX', 'V_VM_VF')",1
18973,"('PR_PRP', 'N_NN', 'N_NN', 'RP_NEG', 'RD_PUNC')",1
18974,"('PSP', 'N_NN', 'N_NN', 'N_NN', 'DM_DMQ')",1
18975,"('QT_QTF', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'JJ')",1
18976,"('N_NN', 'V_VM_VNF', 'RD_PUNC', 'DM_DMQ', 'V_VM_VNF')",1
18977,"('PSP', 'V_VM_VINF', 'N_NN', 'RD_PUNC', 'PR_PRP')",1
18978,"('N_NN', 'N_NN', 'RP_RPD', 'N_NST', 'N_NN')",1
18979,"('QT_QTC', 'RD_PUNC', 'RB', 'PR_PRP', 'N_NN')",1
18980,"('RD_PUNC', 'RB', 'PR_PRP', 'N_NN', 'DM_DMQ')",1
18981,"('RB', 'PR_PRP', 'N_NN', 'DM_DMQ', 'RD_PUNC')",1
18982,"('DM_DMQ', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VF')",1
18983,"('PR_PRP', 'RD_PUNC', 'RD_PUNC', 'N_NN', 'RD_PUNC')",1
18984,"('DM_DMD', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN')",1
18985,"('RD_SYM', 'N_NN', 'DM_DMQ', 'V_VM_VNG', 'V_VM_VNF')",1
18986,"('N_NN', 'DM_DMQ', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",1
18987,"('DM_DMQ', 'V_VM_VNG', 'V_VM_VNF', 'RD_PUNC', 'CC_CCD')",1
18988,"('V_VM_VNG', 'V_VM_VNF', 'RD_PUNC', 'CC_CCD', 'N_NN')",1
18989,"('RD_PUNC', 'N_NN', 'N_NN', 'RP_RPD', 'RD_PUNC')",1
18990,"('N_NST', 'RD_PUNC', 'N_NN', 'QT_QTF', 'N_NN')",1
18991,"('N_NN', 'QT_QTF', 'N_NN', 'V_VM_VNF', 'RB')",1
18992,"('RD_PUNC', 'V_VM_VNF', 'N_NN', 'RB', 'V_VM_VF')",1
18993,"('RD_PUNC', 'PR_PRP', 'PR_PRP', 'PSP', 'V_VM_VF')",1
18994,"('N_NN', 'QT_QTC', 'V_VM_VNF', 'N_NN', 'RB')",1
18995,"('QT_QTC', 'V_VM_VNF', 'N_NN', 'RB', 'V_VM_VF')",1
18996,"('N_NN', 'N_NST', 'DM_DMQ', 'V_VM_VNF', 'N_NST')",1
18997,"('N_NST', 'DM_DMQ', 'V_VM_VNF', 'N_NST', 'RB')",1
18998,"('DM_DMQ', 'V_VM_VNF', 'N_NST', 'RB', 'V_VM_VF')",1
18999,"('RD_PUNC', 'N_NN', 'V_VM_VNF', 'RP_RPD', 'V_VM_VNF')",1
19000,"('V_VM_VNF', 'RP_RPD', 'V_VM_VNF', 'V_VM_VNF', 'N_NN')",1
19001,"('RP_RPD', 'V_VM_VNF', 'V_VM_VNF', 'N_NN', 'N_NN')",1
19002,"('PR_PRP', 'N_NN', 'N_NN', 'N_NST', 'V_VM_VF')",1
19003,"('DM_DMR', 'N_NN', 'RD_PUNC', 'N_NNP', 'RD_PUNC')",1
19004,"('CC_CCD', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NNP')",1
19005,"('RD_PUNC', 'RD_PUNC', 'N_NNP', 'RD_PUNC', 'CC_CCD')",1
19006,"('N_NNP', 'JJ', 'N_NN', 'RD_PUNC', 'N_NNP')",1
19007,"('DM_DMR', 'N_NN', 'N_NN', 'RD_PUNC', 'N_NNP')",1
19008,"('CC_CCD', 'RD_PUNC', 'DM_DMR', 'N_NN', 'N_NN')",1
19009,"('N_NN', 'N_NN', 'RB', 'V_VM_VNF', 'RP_RPD')",1
19010,"('RB', 'V_VM_VNF', 'RP_RPD', 'RD_PUNC', 'N_NNP')",1
19011,"('RD_PUNC', 'CC_CCD', 'QT_QTC', 'N_NN', 'V_VM_VNF')",1
19012,"('CC_CCD', 'QT_QTC', 'N_NN', 'V_VM_VNF', 'RD_PUNC')",1
19013,"('QT_QTC', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'N_NST')",1
19014,"('V_VM_VNF', 'RD_PUNC', 'N_NST', 'PR_PRP', 'V_VM_VNF')",1
19015,"('RD_PUNC', 'N_NST', 'PR_PRP', 'V_VM_VNF', 'RD_PUNC')",1
19016,"('N_NST', 'PR_PRP', 'V_VM_VNF', 'RD_PUNC', 'N_NN')",1
19017,"('RD_PUNC', 'RD_PUNC', 'N_NNP', 'RD_PUNC', 'V_VM_VNF')",1
19018,"('RD_PUNC', 'V_VM_VNF', 'RD_PUNC', 'N_NNP', 'N_NNP')",1
19019,"('V_VM_VNF', 'RD_PUNC', 'N_NNP', 'N_NNP', 'CC_CCS_UT')",1
19020,"('RD_PUNC', 'N_NNP', 'N_NNP', 'CC_CCS_UT', 'PSP')",1
19021,"('N_NNP', 'N_NNP', 'CC_CCS_UT', 'PSP', 'V_VM_VF')",1
19022,"('N_NNP', 'CC_CCS_UT', 'PSP', 'V_VM_VF', 'RD_PUNC')",1
19023,"('N_NN', 'N_NN', 'N_NNP', 'RD_PUNC', 'V_VM_VF')",1
19024,"('PR_PRP', 'DM_DMD', 'N_NN', 'JJ', 'N_NN')",1
19025,"('V_VM_VINF', 'JJ', 'N_NN', 'RD_PUNC', 'N_NNP')",1
19026,"('CC_CCD', 'N_NN', 'N_NN', 'CC_CCD', 'RD_PUNC')",1
19027,"('RB', 'V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'JJ')",1
19028,"('N_NN', 'N_NN', 'N_NNP', 'V_VM_VNF', 'RD_PUNC')",1
19029,"('N_NNP', 'V_VM_VNF', 'RD_PUNC', 'N_NNP', 'N_NN')",1
19030,"('CC_CCS', 'RD_PUNC', 'N_NN', 'N_NN', 'JJ')",1
19031,"('RD_PUNC', 'PR_PRP', 'PR_PRP', 'N_NN', 'RP_RPD')",1
19032,"('PR_PRP', 'PR_PRP', 'N_NN', 'RP_RPD', 'JJ')",1
19033,"('RD_PUNC', 'N_NN', 'N_NN', 'RD_SYM', 'JJ')",1
19034,"('DM_DMQ', 'N_NN', 'N_NN', 'PR_PRP', 'RB')",1
19035,"('N_NN', 'PR_PRP', 'RB', 'V_VM_VNF', 'CC_CCD')",1
19036,"('PR_PRP', 'RB', 'V_VM_VNF', 'CC_CCD', 'RD_PUNC')",1
19037,"('RB', 'V_VM_VNF', 'CC_CCD', 'RD_PUNC', 'QT_QTC')",1
19038,"('V_VM_VNF', 'CC_CCD', 'RD_PUNC', 'QT_QTC', 'N_NN')",1
19039,"('CC_CCD', 'RD_PUNC', 'QT_QTC', 'N_NN', 'N_NN')",1
19040,"('N_NN', 'N_NN', 'RD_PUNC', 'CC_CCD', 'DM_DMR')",1
19041,"('N_NN', 'RD_PUNC', 'CC_CCD', 'DM_DMR', 'N_NN')",1
19042,"('RD_PUNC', 'CC_CCD', 'DM_DMR', 'N_NN', 'RD_PUNC')",1
19043,"('CC_CCD', 'DM_DMR', 'N_NN', 'RD_PUNC', 'DM_DMQ')",1
19044,"('RD_PUNC', 'DM_DMQ', 'N_NN', 'N_NN', 'JJ')",1
19045,"('DM_DMQ', 'N_NN', 'N_NN', 'JJ', 'N_NN')",1
19046,"('JJ', 'N_NN', 'V_VM_VNF', 'RD_SYM', 'QT_QTC')",1
19047,"('RD_SYM', 'QT_QTC', 'N_NN', 'N_NN', 'QT_QTF')",1
19048,"('N_NN', 'N_NN', 'QT_QTF', 'N_NN', 'RP_RPD')",1
19049,"('N_NN', 'QT_QTF', 'N_NN', 'RP_RPD', 'V_VM_VINF')",1
19050,"('QT_QTF', 'N_NN', 'RP_RPD', 'V_VM_VINF', 'N_NN')",1
19051,"('N_NN', 'RP_RPD', 'V_VM_VINF', 'N_NN', 'RP_RPD')",1
19052,"('RP_RPD', 'V_VM_VINF', 'N_NN', 'RP_RPD', 'RD_SYM')",1
19053,"('V_VM_VINF', 'N_NN', 'RP_RPD', 'RD_SYM', 'RD_PUNC')",1
19054,"('DM_DMR', 'JJ', 'N_NN', 'N_NN', 'RD_PUNC')",1
19055,"('RD_PUNC', 'JJ', 'N_NN', 'N_NN', 'RP_RPD')",1
19056,"('N_NN', 'RP_RPD', 'N_NN', 'V_VM_VNF', 'CC_CCD')",1
19057,"('RP_RPD', 'N_NN', 'V_VM_VNF', 'CC_CCD', 'RD_PUNC')",1
19058,"('V_VM_VNF', 'CC_CCD', 'RD_PUNC', 'N_NN', 'RP_RPD')",1
19059,"('CC_CCD', 'RD_PUNC', 'N_NN', 'RP_RPD', 'N_NST')",1
19060,"('N_NN', 'N_NN', 'PSP', 'V_VM_VNF', 'V_VM_VINF')",1
19061,"('V_VM_VNF', 'V_VM_VINF', 'N_NN', 'N_NN', 'DM_DMR')",1
19062,"('N_NN', 'JJ', 'N_NN', 'RP_RPD', 'DM_DMR')",1
19063,"('JJ', 'N_NN', 'RP_RPD', 'DM_DMR', 'N_NN')",1
19064,"('DM_DMR', 'N_NN', 'RD_PUNC', 'QT_QTC', 'N_NN')",1
19065,"('N_NN', 'RD_PUNC', 'QT_QTC', 'N_NN', 'RD_SYM')",1
19066,"('JJ', 'N_NN', 'N_NN', 'RB', 'RD_PUNC')",1
19067,"('N_NN', 'N_NN', 'RB', 'RD_PUNC', 'QT_QTO')",1
19068,"('N_NN', 'RB', 'RD_PUNC', 'QT_QTO', 'QT_QTO')",1
19069,"('RB', 'RD_PUNC', 'QT_QTO', 'QT_QTO', 'V_VM_VF')",1
19070,"('RD_PUNC', 'QT_QTO', 'QT_QTO', 'V_VM_VF', 'RD_PUNC')",1
19071,"('CC_CCD', 'RD_PUNC', 'N_NN', 'DM_DMQ', 'DM_DMR')",1
19072,"('RD_PUNC', 'N_NN', 'DM_DMQ', 'DM_DMR', 'N_NN')",1
19073,"('N_NN', 'DM_DMQ', 'DM_DMR', 'N_NN', 'V_VM_VNF')",1
19074,"('DM_DMQ', 'DM_DMR', 'N_NN', 'V_VM_VNF', 'V_VAUX')",1
19075,"('RD_PUNC', 'V_VM_VNF', 'N_NN', 'RP_RPD', 'DM_DMR')",1
19076,"('V_VM_VNF', 'N_NN', 'RP_RPD', 'DM_DMR', 'RD_PUNC')",1
19077,"('N_NN', 'RP_RPD', 'DM_DMR', 'RD_PUNC', 'N_NN')",1
19078,"('N_NN', 'V_VM_VNF', 'V_VAUX', 'N_NST', 'N_NN')",1
19079,"('V_VM_VNF', 'V_VAUX', 'N_NST', 'N_NN', 'V_VM_VF')",1
19080,"('V_VAUX', 'N_NST', 'N_NN', 'V_VM_VF', 'RD_PUNC')",1
19081,"('PR_PRP', 'JJ', 'N_NN', 'PSP', 'RD_SYM')",1
19082,"('JJ', 'N_NN', 'PSP', 'RD_SYM', 'N_NN')",1
19083,"('PSP', 'RD_SYM', 'N_NN', 'V_VM_VNF', 'N_NN')",1
19084,"('RD_SYM', 'N_NN', 'V_VM_VNF', 'N_NN', 'RP_RPD')",1
19085,"('V_VM_VNF', 'N_NN', 'RP_RPD', 'N_NN', 'V_VM_VNF')",1
19086,"('RP_RPD', 'N_NN', 'V_VM_VNF', 'N_NN', 'PSP')",1
19087,"('N_NN', 'V_VM_VNF', 'N_NN', 'PSP', 'RD_SYM')",1
19088,"('V_VM_VNF', 'N_NN', 'PSP', 'RD_SYM', 'N_NST')",1
19089,"('N_NN', 'PSP', 'RD_SYM', 'N_NST', 'CC_CCD')",1
19090,"('PSP', 'RD_SYM', 'N_NST', 'CC_CCD', 'N_NN')",1
19091,"('RD_SYM', 'N_NST', 'CC_CCD', 'N_NN', 'V_VM_VF')",1
19092,"('N_NST', 'CC_CCD', 'N_NN', 'V_VM_VF', 'RD_PUNC')",1
19093,"('QT_QTC', 'RD_PUNC', 'PR_PRP', 'RD_PUNC', 'N_NN')",1
19094,"('PR_PRP', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'RD_PUNC')",1
19095,"('RD_PUNC', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NST')",1
19096,"('N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NST', 'V_VM_VF')",1
19097,"('RD_PUNC', 'RD_PUNC', 'N_NST', 'V_VM_VF', 'RD_PUNC')",1
19098,"('CC_CCD', 'QT_QTF', 'N_NN', 'V_VM_VNF', 'V_VAUX')",1
19099,"('N_NN', 'N_NN', 'V_VM_VINF', 'RD_PUNC', 'N_NNP')",1
19100,"('N_NN', 'V_VM_VINF', 'RD_PUNC', 'N_NNP', 'N_NNP')",1
19101,"('RD_PUNC', 'RB', 'N_NN', 'N_NN', 'RP_RPD')",1
19102,"('RB', 'N_NN', 'N_NN', 'RP_RPD', 'RD_PUNC')",1
19103,"('V_VM_VNF', 'RD_PUNC', 'N_NN', 'N_NN', 'RD_SYM')",1
19104,"('RD_PUNC', 'N_NNP', 'N_NNP', 'N_NN', 'RD_SYM')",1
19105,"('CC_CCD', 'RD_PUNC', 'N_NNP', 'N_NN', 'DM_DMQ')",1
19106,"('RD_PUNC', 'N_NNP', 'N_NN', 'DM_DMQ', 'RP_RPD')",1
19107,"('N_NNP', 'N_NN', 'DM_DMQ', 'RP_RPD', 'RD_PUNC')",1
19108,"('N_NN', 'DM_DMQ', 'RP_RPD', 'RD_PUNC', 'N_NN')",1
19109,"('DM_DMR', 'N_NN', 'CC_CCD', 'N_NN', 'RD_PUNC')",1
19110,"('N_NN', 'CC_CCD', 'N_NN', 'RD_PUNC', 'PR_PRP')",1
19111,"('RD_PUNC', 'PR_PRP', 'N_NN', 'N_NNP', 'RB')",1
19112,"('PR_PRP', 'N_NN', 'N_NNP', 'RB', 'RD_PUNC')",1
19113,"('N_NN', 'N_NNP', 'RB', 'RD_PUNC', 'N_NNP')",1
19114,"('N_NNP', 'RB', 'RD_PUNC', 'N_NNP', 'N_NNP')",1
19115,"('RB', 'RD_PUNC', 'N_NNP', 'N_NNP', 'RD_PUNC')",1
19116,"('RD_PUNC', 'N_NNP', 'N_NNP', 'RD_PUNC', 'CC_CCS_UT')",1
19117,"('N_NNP', 'N_NNP', 'RD_PUNC', 'CC_CCS_UT', 'V_VM_VF')",1
19118,"('PR_PRP', 'DM_DMR', 'N_NN', 'N_NN', 'RD_PUNC')",1
19119,"('N_NNP', 'RD_PUNC', 'RB', 'V_VM_VNF', 'JJ')",1
19120,"('RD_PUNC', 'RB', 'V_VM_VNF', 'JJ', 'N_NN')",1
19121,"('N_NN', 'N_NST', 'V_VM_VNF', 'RD_PUNC', 'N_NST')",1
19122,"('N_NST', 'V_VM_VNF', 'RD_PUNC', 'N_NST', 'N_NST')",1
19123,"('V_VM_VNF', 'RD_PUNC', 'N_NST', 'N_NST', 'V_VM_VF')",1
19124,"('RD_PUNC', 'N_NST', 'N_NST', 'V_VM_VF', 'RD_PUNC')",1
19125,"('CC_CCS', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NN')",1
19126,"('RD_PUNC', 'N_NN', 'V_VM_VNG', 'RD_PUNC', 'PSP')",1
19127,"('N_NN', 'V_VM_VNG', 'RD_PUNC', 'PSP', 'V_VM_VF')",1
19128,"('V_VM_VNG', 'RD_PUNC', 'PSP', 'V_VM_VF', 'RD_PUNC')",1
19129,"('RB', 'V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'RB')",1
19130,"('V_VM_VNF', 'RD_PUNC', 'PR_PRP', 'RB', 'V_VM_VF')",1
19131,"('RD_PUNC', 'PR_PRP', 'RB', 'V_VM_VF', 'RD_PUNC')",1
19132,"('PR_PRP', 'N_NN', 'RD_PUNC', 'RB', 'V_VM_VNG')",1
19133,"('N_NN', 'RD_PUNC', 'RB', 'V_VM_VNG', 'QT_QTC')",1
19134,"('RD_PUNC', 'RB', 'V_VM_VNG', 'QT_QTC', 'RB')",1
19135,"('RB', 'V_VM_VNG', 'QT_QTC', 'RB', 'PSP')",1
19136,"('V_VM_VNG', 'QT_QTC', 'RB', 'PSP', 'V_VM_VNF')",1
19137,"('QT_QTC', 'RB', 'PSP', 'V_VM_VNF', 'RD_SYM')",1
19138,"('RB', 'PSP', 'V_VM_VNF', 'RD_SYM', 'RD_PUNC')",1
19139,"('PSP', 'V_VM_VNF', 'RD_SYM', 'RD_PUNC', 'PR_PRP')",1
19140,"('RD_PUNC', 'PR_PRP', 'PR_PRP', 'N_NN', 'PR_PRP')",1
19141,"('DM_DMD', 'N_NN', 'RD_PUNC', 'N_NN', 'RB')",1
19142,"('RD_PUNC', 'N_NN', 'RB', 'V_VM_VNF', 'V_VM_VINF')",1
19143,"('V_VM_VINF', 'N_NN', 'N_NN', 'RD_PUNC', 'RB')",1
19144,"('RB', 'V_VM_VNF', 'N_NN', 'N_NN', 'RP_RPD')",1
19145,"('V_VM_VNF', 'N_NN', 'N_NN', 'RP_RPD', 'RD_PUNC')",1
19146,"('N_NN', 'RP_RPD', 'RD_PUNC', 'PR_PRP', 'PR_PRP')",1
19147,"('RP_RPD', 'RD_PUNC', 'PR_PRP', 'PR_PRP', 'N_NN')",1
19148,"('DM_DMQ', 'RD_PUNC', 'DM_DMR', 'N_NN', 'N_NST')",1
19149,"('RD_PUNC', 'DM_DMR', 'N_NN', 'N_NST', 'RB')",1
19150,"('DM_DMR', 'N_NN', 'N_NST', 'RB', 'JJ')",1
19151,"('N_NN', 'N_NST', 'RB', 'JJ', 'N_NN')",1
19152,"('N_NST', 'RB', 'JJ', 'N_NN', 'V_VM_VNF')",1
19153,"('RB', 'JJ', 'N_NN', 'V_VM_VNF', 'CC_CCD')",1
19154,"('RB', 'V_VM_VNF', 'V_VM_VNF', 'RD_PUNC', 'DM_DMD')",1
19155,"('JJ', 'N_NN', 'V_VM_VNF', 'N_NN', 'RP_NEG')",1
19156,"('N_NST', 'RP_RPD', 'DM_DMD', 'JJ', 'N_NN')",1
19157,"('RP_RPD', 'DM_DMD', 'JJ', 'N_NN', 'RD_SYM')",1
19158,"('DM_DMD', 'JJ', 'N_NN', 'RD_SYM', 'N_NN')",1
19159,"('N_NN', 'RD_SYM', 'N_NN', 'N_NN', 'PR_PRP')",1
19160,"('N_NN', 'RB', 'V_VM_VNF', 'N_NN', 'RD_SYM')",1
19161,"('RB', 'V_VM_VNF', 'N_NN', 'RD_SYM', 'PR_PRP')",1
19162,"('V_VM_VNF', 'N_NN', 'RD_SYM', 'PR_PRP', 'N_NN')",1
19163,"('RD_SYM', 'PR_PRP', 'N_NN', 'RB', 'V_VM_VF')",1
19164,"('V_VM_VNF', 'PR_PRP', 'DM_DMD', 'N_NN', 'N_NNP')",1
19165,"('PR_PRP', 'DM_DMD', 'N_NN', 'N_NNP', 'N_NN')",1
19166,"('CC_CCS', 'RD_PUNC', 'PR_PRP', 'N_NN', 'N_NNP')",1
19167,"('N_NN', 'RD_PUNC', 'PR_PRP', 'N_NN', 'RD_SYM')",1
19168,"('PR_PRP', 'N_NN', 'RD_SYM', 'N_NN', 'N_NN')",1
19169,"('N_NNP', 'N_NN', 'RP_RPD', 'N_NN', 'PSP')",1
19170,"('N_NN', 'RP_RPD', 'N_NN', 'PSP', 'V_VM_VF')",1
19171,"('RP_RPD', 'N_NN', 'PSP', 'V_VM_VF', 'RD_PUNC')",1
